Linux 6.8.0-45-lowlatency (ntb-hp) 	25/09/2024 	_x86_64_	(16 CPU)

10:24:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:       1    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
Average:       2   10,10    0,00    3,03    2,02    0,00    0,00    0,00    0,00    0,00   84,85
Average:       3    1,98    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   97,03
Average:       4   12,63    0,00    3,16    2,11    0,00    0,00    0,00    0,00    0,00   82,11
Average:       5    2,97    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   96,04
Average:       6   22,22    0,00    5,05    0,00    0,00    0,00    0,00    0,00    0,00   72,73
Average:       7    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
Average:       8   10,20    0,00   10,20    0,00    0,00    0,00    0,00    0,00    0,00   79,59
Average:       9   10,00    0,00    4,00    0,00    0,00    0,00    0,00    0,00    0,00   86,00
Average:      10    8,00    0,00    4,00    0,00    0,00    0,00    0,00    0,00    0,00   88,00
Average:      11    6,00    0,00    4,00    0,00    0,00    0,00    0,00    0,00    0,00   90,00
Average:      12    2,04    0,00    2,04    5,10    0,00    1,02    0,00    0,00    0,00   89,80
Average:      13    2,00    0,00    2,00    1,00    0,00    0,00    0,00    0,00    0,00   95,00
Average:      14    3,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   95,00
Average:      15    1,98    0,00    1,98    1,98    0,00    0,00    0,00    0,00    0,00   94,06
Linux 6.8.0-45-lowlatency (ntb-hp) 	25/09/2024 	_x86_64_	(16 CPU)

10:50:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:50:07     all    2,84    0,00    2,15    0,25    0,00    0,06    0,00    0,00    0,00   94,70
10:50:07       0    2,04    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   94,90
10:50:07       1    2,04    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,96
10:50:07       2    3,00    0,00    2,00    0,00    0,00    1,00    0,00    0,00    0,00   94,00
10:50:07       3    3,03    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   95,96
10:50:07       4    5,05    0,00    4,04    0,00    0,00    0,00    0,00    0,00    0,00   90,91
10:50:07       5    2,02    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,98
10:50:07       6    3,03    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   93,94
10:50:07       7    4,08    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   94,90
10:50:07       8    6,06    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   90,91
10:50:07       9    3,00    0,00    3,00    1,00    0,00    0,00    0,00    0,00    0,00   93,00
10:50:07      10    4,04    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   93,94
10:50:07      11    4,00    0,00    8,00    0,00    0,00    0,00    0,00    0,00    0,00   88,00
10:50:07      12    0,00    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   98,98
10:50:07      13    1,98    0,00    0,99    0,99    0,00    0,00    0,00    0,00    0,00   96,04
10:50:07      14    1,02    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,98
